Retrieval Method,cost_per_query,cost_1000_queries,,,
Ensemble, 0.00 , 0.78 ,,,
Multi-Query, 0.00 , 0.63 ,,,
Naive, 0.00 , 0.17 ,,,
Semantic, 0.00 , 0.11 ,,,
Contextual Compression, 0.00 , 0.10 ,,,
BM25, 0.00 , 0.06 ,,,
Parent Document, 0.00 , 0.04 ,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Retrieval Method,context_precision,context_recall,context_relevancy,avg_latency,avg_token_usage
Parent Document, 0.26 , 0.39 , 0.32 , 0.33 , 365.93 
Contextual Compression, 0.25 , 0.39 , 0.32 , 0.64 , 496.07 
BM25, 0.24 , 0.33 , 0.29 , 0.00 , 590.60 
Naive, 0.18 , 0.37 , 0.27 , 0.25 ," 1,683.40 "
Semantic, 0.17 , 0.41 , 0.29 , 1.10 ," 1,120.73 "
Multi-Query, 0.16 , 0.37 , 0.26 , 1.71 ," 2,112.13 "
Ensemble, 0.15 , 0.37 , 0.26 , 2.64 ," 2,594.67 "
